signal_date,trade_date,action,sector,from_sector,to_sector,rs20,score,reason,target_weight,nav_at_open,cycle_return,losing_cycle_streak
2023-04-20,2023-04-21,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2429138.66097104,0.05397267991509658,0.0
2023-04-28,2023-05-04,BUY,CPO,,CPO,1.4445863941232837,1.4445863941232837,ENTRY_TOP1,1.0,2429138.66097104,,
2023-05-09,2023-05-10,SWITCH,保险,CPO,保险,1.1591529346737144,1.1591529346737144,STRONGER_RS20_MARGIN_4%,1.0,2336133.475882416,,
2023-05-23,2023-05-24,SELL,保险,保险,,,,DOUBLE_MA20_BREAK,0.0,2212451.6550480793,-0.08920322639644651,1.0
2023-06-13,2023-06-14,BUY,CPO,,CPO,1.528656430598776,1.528656430598776,ENTRY_TOP1,1.0,2212451.6550480793,,
2023-06-14,2023-06-15,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2418493.133024144,0.09312812666706027,0.0
2023-06-15,2023-06-16,BUY,CPO,,CPO,1.3770436279732714,1.3770436279732714,ENTRY_TOP1,1.0,2418493.133024144,,
2023-06-16,2023-06-19,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2617988.74520203,0.08248756610213404,0.0
2023-06-19,2023-06-20,BUY,CPO,,CPO,1.814478961856075,1.814478961856075,ENTRY_TOP1,1.0,2617988.74520203,,
2023-06-26,2023-06-27,SELL,CPO,CPO,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2317958.782281601,-0.11460322870764517,1.0
2023-07-03,2023-07-04,BUY,汽车零部件,,汽车零部件,1.366331003435612,1.366331003435612,ENTRY_TOP1,1.0,2317958.782281601,,
2023-07-10,2023-07-11,SELL,汽车零部件,汽车零部件,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2322600.245553506,0.0020023924960981265,0.0
2023-07-25,2023-07-26,BUY,有色金属,,有色金属,1.1398128278493087,1.1398128278493087,ENTRY_TOP1,1.0,2322600.245553506,,
2023-08-07,2023-08-08,SWITCH,证券,有色金属,证券,1.2015048908954105,1.2015048908954105,STRONGER_RS20_MARGIN_4%,1.0,2364905.0383037007,,
2023-08-11,2023-08-14,SELL,证券,证券,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2275588.442996742,-0.02024102195234223,1.0
2023-09-06,2023-09-07,BUY,商业航天,,商业航天,1.1245195413878821,1.1245195413878821,ENTRY_TOP1,1.0,2275588.442996742,,
2023-09-08,2023-09-11,SELL,商业航天,商业航天,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2481127.5188083276,0.09032348377587529,0.0
2023-09-11,2023-09-12,BUY,商业航天,,商业航天,1.2037909938822584,1.2037909938822584,ENTRY_TOP1,1.0,2481127.5188083276,,
